word,meaning
강박적,남의 뜻을 무리하게 억누르거나 자기 뜻에 억지로 따르게 하는 것.
강박적,마음속에 어떤 한 가지 생각이나 감정에 사로잡혀서 매우 심한 압박을 느끼는 것.
강박증,떨쳐 버리려 해도 자꾸 마음에 떠올라 불안한 생각에 사로잡히게 되는 증세.
강속구,"야구에서, 투수가 던지는 강하고 빠른 공."
강수량,일정한 기간 동안 일정한 곳에 비나 눈 등이 내려 생기는 물의 양.
강습료,어떤 지식이나 기술 등을 배우는 대가로 내는 돈.
강신무,신이 내려서 된 무당.
강심장,쉽게 겁을 내거나 놀라거나 부끄러워하지 않는 성격. 또는 그런 성격을 가진 사람.
강심제,약해진 심장의 기능을 회복시키는 약.
강아지,개의 새끼.
강아지,"부모나 할아버지, 할머니가 자식이나 손주를 귀여워하면서 부르는 말."
강압적,힘이나 권력을 이용해 강제로 억누르는 것.
강어귀,강물이 바다로 흘러가기 시작하는 곳.
강연자,강연을 하는 사람.
강연회,강연을 하기 위한 모임.
강원도,"한국의 행정 구역 단위인 도의 하나. 중동부에 위치한 산악 지대로 동쪽으로 동해를 접하고 있으며 감자, 옥수수, 오징어, 명태 등이 많이 난다. 주요 도시로는 평창, 춘천, 강릉 등이 있다."
강의실,강의를 하는 데 사용하는 교실.
강인성,굳세고 질긴 성질.
강장제,"허약한 체질을 건강하게 만들고, 체력을 좋게 하는 약."
강점기,남의 영토나 물건을 강제로 차지한 시기나 기간.
강제성,억지로 따르게 하는 성질.
강제적,권력이나 힘으로 남이 원하지 않는 일을 억지로 시키는 것.
강줄기,강물의 긴 흐름.
강철봉,단단한 쇠로 만든 막대기.
강추위,눈이 오고 바람이 부는 심한 추위.
강타자,"야구에서, 공을 멀리 잘 치는 타자."
강태공,중국 주나라 초기의 정치가(?~?).
강행군,군인들이나 많은 사람이 줄을 지어 걷는 일을 무리하게 함.
개고생,아주 심하게 어렵고 힘든 일을 겪음.
개관식,"도서관, 박물관, 체육관 등의 기관이 운영 준비를 하여 문을 열 때 하는 기념행사."
개괄적,중요한 내용이나 줄거리를 대강 추려 낸 것.
개교기념일,매년 개교일과 같은 날짜에 학교를 세운 것을 기념하는 날.
개교식,학교를 처음 세운 날을 축하하는 행사.
개구리,논이나 하천 등지에 살며 네 발에 물갈퀴가 있어 헤엄을 잘 치고 뒷다리가 길어 잘 뛰며 울음주머니를 부풀려서 소리를 내는 동물.
개구리밥,연못이나 논 위에 떠서 사는 타원형의 작은 초록색 풀.
